Proyecto,Fecha,AP2_T,FH1_T,FLO_T,COT_T,MB_T
Pir,1/31/2024,110,50,10,10,50
Nor,1/31/2024,90,120,0,0,0
Ayr,1/31/2024,170,50,0,0,0
Jol,1/31/2024,442,430,0,0,0
Aqt,1/31/2024,410.25,515.24,0,0,0
Csl,1/31/2024,227.84,290.52,0,0,0
Bak,1/31/2024,390,390,0,0,0
Hjy,1/31/2024,372.67,529,0,0,0
Sla,1/31/2024,603,350,0,0,0
Kar,1/31/2024,342.98,411.18,0,0,0
Aqv,1/31/2024,368,150,0,0,0
Blu,1/31/2024,328.9,462.06,0,0,0
Cdl,1/31/2024,206,343,0,0,0
Con,1/31/2024,320,400,0,0,0
Sol,1/31/2024,774,222,150,150,60
Dia,1/31/2024,420,420,0,0,0
Cen,1/31/2024,180,180,0,0,40
Sam,1/31/2024,560,360,0,0,0
Bah,1/31/2024,180,360,0,0,0
Vis,1/31/2024,180,180,0,0,0
Tbe,1/31/2024,421,731,0,0,0
Azh,1/31/2024,254,588,185,185,0
Boi,1/31/2024,120,138,140,140,40
Gpm,1/31/2024,0,15,0,0,0
Ses,1/31/2024,392,1697,0,0,0
Slg,1/31/2024,330,482,28,28,95
Sln1,1/31/2024,40,133,20,20,23
Sln2,1/31/2024,116,479,24,24,120
Sln3,1/31/2024,22,196,0,0,47
Me1,1/31/2024,860,2953,17,17,600
Me3,1/31/2024,130,600,141,141,320
Sro,1/31/2024,325,355,42,42,112
Dzn,1/31/2024,375,598,47,47,55
Hua,1/31/2024,0,539,50,50,0
Bin,1/31/2024,1770,0,0,0,0
Mun,1/31/2024,164,453,25,25,118
Lcr,1/26/2024,220,280,0,0,0
Bri,1/31/2024,230,160,0,0,0
Pap,1/31/2024,110,350,0,0,0
Plc,1/31/2024,100,165,0,0,0
Cui,1/31/2024,160,30,0,0,0
Mad,1/31/2024,0,0,0,0,0
Tur,1/31/2024,0,0,0,0,0
Alc,1/31/2024,176,348,0,0,0
Okb,1/31/2024,589,1006,0,0,0
Rvw,1/31/2024,136,254,0,0,0
Til,1/31/2024,189,274,0,0,0
Vfi,1/31/2024,0,0,22,22,0
Til,2/29/2024,164,259,0,0,0
Bal,2/27/2024,0,50,160,160,0
Blu,2/29/2024,309.87,461.01,0,0,0
Csl,2/29/2024,218.91,280.83,0,0,0
Kar,2/29/2024,340.46,399.24,0,0,0
Pap,2/29/2024,710,660,0,0,0
Hjy,2/29/2024,320.97,483.67,0,0,0
Aqt,2/29/2024,409,510.26,0,0,0
Bak,2/29/2024,381,362,0,0,0
Lcr,2/29/2024,100,280,0,0,0
Tbe,2/29/2024,441,729,0,0,0
Nor,2/29/2024,180,90,23,23,0
Ayr,2/29/2024,220,100,0,0,0
Vis,2/29/2024,120,120,0,0,0
Bah,2/29/2024,70,360,0,0,0
Sla,2/29/2024,601.5,348.5,0,0,0
Jol,2/29/2024,270,320,0,0,0
Aqv,2/29/2024,359.2,148,0,0,0
Azh,2/29/2024,189,568,185,185,0
Boi,2/29/2024,115,125,50,50,40
Gpm,2/29/2024,0,15,0,0,0
Sam,2/29/2024,360,550,0,0,0
