idMaestra_Aditivo,Proyecto,Leadtime,DdaDiaLts_AP2,DdaDiaLts_FH1
1,Apo,45,10.31,2.02
2,Aqv,30,8.24,1.62
3,Ayr,5,4,4
4,Azu,45,6.34,1.25
5,Bah,5,4,2
6,Bin,90,18.82,3.51
7,Bla,45,8.86,1.75
8,Blu,30,11.46,2.25
9,Bri,5,4,1
10,Csl,40,5.19,1.02
11,Con,5,7,2
12,Cui,45,6.98,1.37
13,Dia,45,10.87,2.14
14,Dse,90,12,6
15,For,45,13.05,2.54
16,Hua,90,20.62,4.06
17,Jol,70,14.74,2.9
18,Mar,5,9,6
19,Mey,90,12,6
20,Me1,90,51.34,10.11
21,Nor,5,3,1
22,Ola,5,2,1
23,Pap,5,3,1
24,Pil,40,9.13,1.8
25,Por,7,6,3
26,Sam,5,32,7
27,Ses,120,37.62,7.25
28,Sla,35,7.42,1.46
29,Sol,5,8,4
30,Ter,40,16.93,3.33
31,Ver,45,11.18,2.21
32,Vis,5,2,1
33,Alc,60,4.6,0.9
34,Epp,50,8.09,1.59
35,Twn,50,20.29,4
36,Rvw,90,4.05,0.8
37,Hjy,70,10.72,2.11
38,Pir,5,3,1
39,Cen,5,2,1
40,Smi,50,8.08,1.6
41,Bal,50,2.01,0.4
42,Lcr,5,4,2
43,Dzn,90,12.55,2.64
44,Sln2,180,6.27,0.88
45,Til,90,3.85,0.97
46,Tur,45,47.47,9.34
47,Mad,45,10.24,2.02
48,Win,50,5.46,1.07
49,Lma,50,13.71,2.7
50,Vfi,90,14.68,2.89
51,Boi,180,16.75,1.68
52,Okb,90,14.87,2.92
53,Slg,180,4.30,0.85
54,Sln1,180,3.81,0.75
55,Azh,180,11.78,2.31
56,Kar,90,5.56,1.1
57,Gpm,180,6.22,1.23
58,Me3,90,25.94,5.11
59,Sro,90,6.63,1.30
60,Mun,90,5.12,1.01
61,Aqt,90,7.72,1.74
62,Cdl,90,8.30,1.87
63,Tbe,90,6.10,1.37
64,Bak,90,8.49,7.18
