idLagunas,Nombre,Codigo,Identificador,Estado,Rend,Nombre_Proyecto,idplatanus,ranking,idioma,mailcontacto,subjectr,mailcontacto2,horariocorte,Water_analysis,Region
Pil,El Pilar,E-ARG-1540,2.0,True,True,El Pilar,37.0,1960.0,E,ceballoscampospablo@gmail.com,Pil,,09:00,False,7.0
Ter,Terralagos,E-ARG-1532,2.0,True,True,Terralagos,34.0,1950.0,E,,Ter,,18:00,False,7.0
Apo,Apodaca,E-MEX-1520,6.0,True,True,Apodaca,24.0,3400.0,E,,Apo,,14:00,False,7.0
Ayr,Ayres,E-CHL-1514,2.0,True,True,Ayres,5.0,1500.0,E,ocorrea@lagunaayres.cl,Ayr,,11:00,False,7.0
Bah,Bahia,E-CHL-1549,2.0,True,True,Bahia,8.0,1200.0,E,arielmunoza@hotmail.cl,Bah,admingeneral@lagunabahia.cl,14:00,False,7.0
Bin,Bintan,E-IDN-1515,3.0,True,True,Treasure Bay Bintan Lagoon,31.0,4400.0,I,mohlisin11@gmail.com,Bin,muchlisin@treasurebaybintan.com,05:30,False,5.0
Dse,Deadsea,E-JOR-1507,3.0,True,True,DeadSea Lagoon,28.0,4300.0,I,saif.banihani@deadsealagoon.com,Dse,,05:30,False,5.0
Mar,Del Mar,E-CHL-1510,6.0,True,True,Del Mar,20.0,1910.0,E,lagunadelmar2015@gmail.com,Mar,lagunadelmar2015@gmail.com,13:00,False,7.0
Sol,Del Sol,E-CHL-1512,1.0,True,True,Del Sol,40.0,1600.0,E,,Sol,,18:00,False,7.0
Dia,Diamante,E-MEX-1814,6.0,True,True,Diamante,38.0,3200.0,E,,Dia,,14:00,False,7.0
For,La Foresta,E-MEX-1519,6.0,True,True,La Foresta,27.0,3300.0,E,,For,,14:00,False,7.0
Jol,La Jolla,E-PER-1503,2.0,True,True,La Jolla,35.0,1940.0,E,,Jol,,14:00,False,7.0
Por,Portada,E-CHL-1505,1.0,True,True,Costa Laguna,39.0,1930.0,E,norsurspa@gmail.com,Por,,18:00,False,7.0
Bri,Las Brisas,E-CHL-1504,2.0,True,True,Las Brisas,19.0,1400.0,E,,Bri,,14:00,False,7.0
Mey,Meydan,E-ARE-1561,3.0,False,True,MBRD-1 Pilot Lagoon,,4100.0,I,Tika.Dangal@farnek.com,Mey,,02:30,False,5.0
Nor,Norte,E-CHL-1525,5.0,True,True,Norte,16.0,1700.0,E,,Nor,,14:00,False,7.0
Ola,Olas,E-CHL-1509,6.0,True,True,Olas,,1900.0,E,,Ola,,18:00,False,7.0
Pap,Papudo,E-CHL-1536,5.0,True,True,Papudo,15.0,1920.0,E,suplagunapapudo@gmail.com,Pap,j.vartinez@gmail.com,14:00,False,7.0
Bla,Playa Blanca,E-PAN-1501,6.0,True,True,Playa Blanca,25.0,3100.0,E,,Bla,,14:00,False,7.0
